Frame,EAR,State
,0.281655675,Open
,0.273426536,Open
,0.289752175,Open
,0.297549461,Open
,0.305303788,Open
,0.300827726,Open
,0.289805763,Open
,0.297188498,Open
,0.296757691,Open
,0.285099947,Open
,0.273822297,Open
,0.297165375,Open
,0.289752175,Open
,0.297506502,Open
,0.282390922,Open
,0.289448273,Open
,0.285176666,Open
,0.285582483,Open
,0.274577466,Open
,0.302166041,Open
,0.317284429,Open
,0.280144411,Open
,0.314347256,Open
,0.290064475,Open
,0.293928988,Open
,0.288584684,Open
,0.289894001,Open
,0.27389741,Open
,0.285301996,Open
,0.273980586,Open
,0.286810295,Open
,0.316158731,Open
,0.307063126,Open
,0.291509931,Open
,0.290615953,Open
,0.299253444,Open
,0.290156701,Open
,0.318312164,Open
,0.304505267,Open
,0.302363241,Open
,0.277906537,Open
,0.285107756,Open
,0.274903537,Open
,0.274082826,Open
,0.277423924,Open
,0.274012082,Open
,0.281749598,Open
,0.302679825,Open
,0.283526446,Open
,0.279740771,Open
,0.293993802,Open
,0.306697813,Open
,0.303094535,Open
,0.302580773,Open
,0.30129228,Open
,0.310849838,Open
,0.310127084,Open
,0.298657818,Open
,0.287121517,Open
,0.301826466,Open
,0.30127721,Open
,0.31748503,Open
,0.315203991,Open
,0.294538024,Open
,0.307078143,Open
,0.29399308,Open
,0.298226764,Open
,0.305746984,Open
,0.291803666,Open
,0.309548892,Open
,0.309643908,Open
,0.281596927,Open
,0.313002581,Open
,0.289141573,Open
,0.282326965,Open
,0.278313078,Open
,0.282014789,Open
,0.28486705,Open
,0.280898459,Open
,0.285311627,Open
,0.280403191,Open
,0.292523438,Open
,0.292180502,Open
,0.292087368,Open
,0.288113588,Open
,0.287979125,Open
,0.280679653,Open
,0.280443545,Open
,0.296168521,Open
,0.309295726,Open
,0.319327923,Open
,0.300895493,Open
,0.286692657,Open
,0.294294714,Open
,0.313349041,Open
,0.30776075,Open
,0.308528238,Open
,0.308577393,Open
,0.292750635,Open
,0.304275767,Open
,0.297500658,Open
,0.309689579,Open
,0.293294419,Open
,0.305003736,Open
,0.300133971,Open
,0.303982169,Open
,0.305040262,Open
,0.288544395,Open
,0.300578549,Open
,0.300578549,Open
,0.300578549,Open
,0.296048427,Open
,0.292888751,Open
,0.303982169,Open
,0.299388894,Open
,0.300137365,Open
,0.295463212,Open
,0.303564062,Open
,0.289325828,Open
,0.288544395,Open
,0.303123753,Open
,0.30856134,Open
,0.312586175,Open
,0.315852757,Open
,0.315494673,Open
,0.304386171,Open
,0.300578549,Open
,0.292595757,Open
,0.292888751,Open
,0.310855479,Open
,0.303985819,Open
,0.299033941,Open
,0.303564062,Open
,0.299388894,Open
,0.304386171,Open
,0.299388894,Open
,0.306049515,Open
,0.317236985,Open
,0.319061228,Open
,0.307140017,Open
,0.305661563,Open
,0.305727603,Open
,0.31064644,Open
,0.305727603,Open
,0.300213235,Open
,0.308978782,Open
,0.309295726,Open
,0.244512366,Open
,0.054748677,Blink
,0.034296849,Blink
,0.02322725,Blink
,0.089928305,Open
,0.174831081,Open
,0.235626308,Open
,0.258312259,Open
,0.274994561,Open
,0.299143261,Open
,0.318312164,Open
,0.313813548,Open
,0.318874092,Open
,0.302562795,Open
,0.30702859,Open
,0.31156055,Open
,0.310849838,Open
,0.313349041,Open
,0.289073289,Open
,0.289073289,Open
,0.304999136,Open
,0.299604298,Open
,0.287121517,Open
,0.28143781,Open
,0.308176005,Open
,0.293288835,Open
,0.297907213,Open
,0.305828821,Open
,0.305427433,Open
,0.304553408,Open
,0.30076847,Open
,0.291890878,Open
,0.292623077,Open
,0.300420497,Open
,0.30812685,Open
,0.283526446,Open
,0.298709989,Open
,0.305427433,Open
,0.297759969,Open
,0.281838555,Open
,0.296951351,Open
,0.289603954,Open
,0.286082067,Open
,0.289754014,Open
,0.293145353,Open
,0.302234313,Open
,0.302234313,Open
,0.297759969,Open
,0.297759969,Open
,0.295060553,Open
,0.29392464,Open
,0.31046277,Open
,0.31046277,Open
,0.3146642,Open
,0.31424949,Open
,0.306395134,Open
,0.306949679,Open
,0.298688782,Open
,0.293145353,Open
,0.287540333,Open
,0.303329618,Open
,0.292526163,Open
,0.308978782,Open
,0.30129228,Open
,0.295060553,Open
,0.297578326,Open
,0.281392827,Open
,0.277836943,Open
,0.284916725,Open
,0.278403265,Open
,0.286910724,Open
,0.290159682,Open
,0.296983291,Open
,0.296983291,Open
,0.279740771,Open
,0.270670742,Open
,0.279099114,Open
,0.273830945,Open
,0.282198864,Open
,0.261295646,Open
,0.274401653,Open
,0.282659385,Open
,0.282909113,Open
,0.278916299,Open
,0.290365737,Open
,0.274577466,Open
,0.251566676,Open
,0.269832363,Open
,0.282780345,Open
,0.295060553,Open
,0.289959196,Open
,0.29203128,Open
,0.277391216,Open
,0.292712915,Open
,0.282198864,Open
,0.275510714,Open
,0.274012082,Open
,0.277210372,Open
,0.274012082,Open
,0.290826258,Open
,0.291795511,Open
,0.285845541,Open
,0.292080436,Open
,0.282568787,Open
,0.282092936,Open
,0.26712804,Open
,0.258281313,Open
,0.277302662,Open
,0.273763858,Open
,0.283526446,Open
,0.290710652,Open
,0.297506502,Open
,0.293690908,Open
,0.312407501,Open
,0.332257983,Open
,0.336816011,Open
,0.340015684,Open
,0.348933434,Open
,0.351396101,Open
,0.32737527,Open
,0.259019132,Open
,0.075922532,Blink
,0.044366123,Blink
,0.064123642,Blink
,0.027788468,Open
,0.081721234,Open
,0.162234444,Open
,0.181555774,Open
,0.24419936,Open
,0.243576302,Open
,0.262435381,Open
,0.266827464,Open
,0.282659385,Open
,0.283526446,Open
,0.279280251,Open
,0.284432989,Open
,0.28377694,Open
,0.282780345,Open
,0.276984675,Open
,0.274078678,Open
,0.297665548,Open
,0.287121517,Open
,0.278689212,Open
,0.282659385,Open
,0.287540333,Open
,0.299301313,Open
,0.312004537,Open
,0.311340888,Open
,0.298659491,Open
,0.300064577,Open
,0.294122762,Open
,0.298659491,Open
,0.301269548,Open
,0.3030003,Open
,0.302475085,Open
,0.302475085,Open
,0.311929844,Open
,0.314764127,Open
,0.323516943,Open
,0.32343574,Open
,0.320201642,Open
,0.323115555,Open
,0.290305156,Open
,0.314694668,Open
,0.302124027,Open
,0.304924035,Open
,0.318331988,Open
,0.313403969,Open
,0.306618597,Open
,0.318080588,Open
,0.328470707,Open
,0.318080588,Open
,0.311633803,Open
,0.302029357,Open
,0.323021031,Open
,0.289777591,Open
,0.313447009,Open
,0.280675121,Open
,0.289958049,Open
,0.302278476,Open
,0.302314857,Open
,0.281655675,Open
,0.294538024,Open
,0.317284429,Open
,0.30968139,Open
,0.312897266,Open
,0.306957847,Open
,0.285062758,Open
,0.277332206,Open
,0.277552236,Open
,0.290365737,Open
,0.292474498,Open
,0.310172087,Open
,0.296979138,Open
,0.29702908,Open
,0.285242034,Open
,0.306657458,Open
,0.281995471,Open
,0.279740771,Open
,0.285989024,Open
,0.292606578,Open
,0.292661137,Open
,0.317522303,Open
,0.298126069,Open
,0.304603384,Open
,0.300317301,Open
,0.287540333,Open
,0.287790827,Open
,0.286074977,Open
,0.294934168,Open
,0.318080588,Open
,0.31229041,Open
,0.304924035,Open
,0.297506502,Open
,0.328582282,Open
,0.300572242,Open
,0.313198428,Open
,0.309974608,Open
,0.309631415,Open
,0.302029357,Open
,0.325056159,Open
,0.323159894,Open
,0.333760072,Open
,0.341587875,Open
,0.328851509,Open
,0.347912544,Open
,0.320977305,Open
,0.313393381,Open
,0.30960662,Open
,0.318044255,Open
,0.310081743,Open
,0.315444001,Open
,0.3208554,Open
,0.304176063,Open
,0.325453777,Open
,0.309653051,Open
,0.31266922,Open
,0.329543876,Open
,0.328617484,Open
,0.310836663,Open
,0.323218778,Open
,0.34157948,Open
,0.333817395,Open
,0.33788649,Open
,0.330781638,Open
,0.322890275,Open
,0.315733674,Open
,0.322701935,Open
,0.319525986,Open
,0.289368193,Open
,0.148786126,Blink
,0.068619982,Blink
,0.049580826,Blink
,0.069949734,Open
,0.061689767,Open
,0.013508581,Open
,0.056511057,Open
,0.088350588,Open
,0.178746929,Open
,0.202232143,Open
,0.225261444,Open
